     t     ,   ref   ,   pj0    ,    vj0    ,    tj0    ,    pj1    ,    vj1    ,    tj1    ,    pj2    ,    vj2    ,    tj2    ,    pj3    ,    vj3    ,    tj3    ,    pj4    ,    vj4    ,    tj4    ,    pj5    ,    vj5    ,    tj5    
   0.05500,    0.00000,    0.00001,    0.00000,    0.00000,   -1.57081,    0.00000,    0.88031,    0.00002,    0.00000,   -1.44225,   -1.57082,    0.00000,    0.09194,   -0.00006,    0.00000,   -0.09209,   -0.00001,    0.00000,   -0.13225
   0.05600,    0.00000,    0.00001,    0.00000,    0.02900,   -1.57076,    0.00000,    0.85097,    0.00002,    0.00000,   -1.39941,   -1.57082,    0.00000,    0.12259,   -0.00004,    0.00000,   -0.05628,   -0.00002,    0.00000,   -0.14242
   0.05700,    0.00000,    0.00002,    0.00000,    0.02900,   -1.57084,    0.00000,    0.82162,    0.00010,    0.00000,   -1.39941,   -1.57084,    0.00000,    0.10727,   -0.00005,    0.00000,   -0.07163,    0.00001,    0.00000,   -0.11699
   0.05800,    0.00000,    0.00000,    0.00000,    0.00000,   -1.57080,    0.00000,    0.85097,    0.00005,    0.00000,   -1.42797,   -1.57084,    0.00000,    0.09705,   -0.00005,    0.00000,   -0.08186,   -0.00004,    0.00000,   -0.11190
   0.05900,    0.00000,    0.00001,    0.00000,    0.00000,   -1.57078,    0.00000,    0.82162,    0.00004,    0.00000,   -1.39941,   -1.57083,    0.00000,    0.14302,   -0.00004,    0.00000,   -0.09209,    0.00000,    0.00000,   -0.13733
   0.06000,    0.00000,    0.00006,    0.00000,   -0.02900,   -1.57080,    0.00000,    0.88031,    0.00002,    0.00000,   -1.34229,   -1.57084,    0.00000,    0.10216,   -0.00007,    0.00000,   -0.07674,    0.00002,    0.00000,   -0.09155
   0.06100,    0.00000,    0.00007,    0.00000,   -0.05801,   -1.57082,    0.00000,    0.90965,    0.00002,    0.00000,   -1.39941,   -1.57082,    0.00000,    0.13791,   -0.00006,    0.00000,   -0.09720,   -0.00002,    0.00000,   -0.15259
   0.06200,    0.00000,    0.00004,    0.00000,   -0.02900,   -1.57077,    0.00000,    0.96834,    0.00006,    0.00000,   -1.37085,   -1.57084,    0.00000,    0.13280,   -0.00007,    0.00000,   -0.09209,   -0.00001,    0.00000,   -0.17802
   0.06300,    0.00000,    0.00002,    0.00000,    0.00000,   -1.57077,    0.00000,    0.90965,    0.00005,    0.00000,   -1.35657,   -1.57083,    0.00000,    0.09705,   -0.00008,    0.00000,   -0.05628,   -0.00004,    0.00000,   -0.14242
   0.06400,    0.00000,    0.00005,    0.00000,   -0.02900,   -1.57077,    0.00000,    0.90965,    0.00004,    0.00000,   -1.39941,   -1.57084,    0.00000,    0.10216,   -0.00007,    0.00000,   -0.09720,    0.00001,    0.00000,   -0.14751
